num_robots	w	run_time	selected_info_types
50	0	2643	[]
50	0	2613	[]
50	0	2589	[]
50	0	2411	[]
50	0	2460	[]
50	0	1495	[]
50	0	2007	[]
50	0	2482	[]
50	0	2444	[]
50	0	5837	[]
50	1	50001	['task_progress_status']
50	1	50001	['task_progress_status']
50	1	50001	['task_progress_status']
50	1	10155	['task_progress_status']
50	1	50001	['task_progress_status']
50	1	3079	['task_progress_status']
50	1	50001	['task_progress_status']
50	1	50001	['task_progress_status']
50	1	4250	['task_progress_status']
50	1	7318	['task_progress_status']
50	1	2606	['chosen_door']
50	1	2130	['chosen_door']
50	1	2518	['chosen_door']
50	1	2509	['chosen_door']
50	1	1675	['chosen_door']
50	1	2406	['chosen_door']
50	1	2429	['chosen_door']
50	1	2173	['chosen_door']
50	1	2962	['chosen_door']
50	1	2520	['chosen_door']
50	2	2568	['chosen_door', 'robot_heading_status']
50	2	2844	['chosen_door', 'robot_heading_status']
50	2	2103	['chosen_door', 'robot_heading_status']
50	2	3057	['chosen_door', 'robot_heading_status']
50	2	2715	['chosen_door', 'robot_heading_status']
50	2	2112	['chosen_door', 'robot_heading_status']
50	2	2284	['chosen_door', 'robot_heading_status']
50	2	5143	['chosen_door', 'robot_heading_status']
50	2	2241	['chosen_door', 'robot_heading_status']
50	2	2154	['chosen_door', 'robot_heading_status']
50	2	1368	['chosen_door', 'robot_task_id_status']
50	2	2565	['chosen_door', 'robot_task_id_status']
50	2	3372	['chosen_door', 'robot_task_id_status']
50	2	2111	['chosen_door', 'robot_task_id_status']
50	2	2124	['chosen_door', 'robot_task_id_status']
50	2	2362	['chosen_door', 'robot_task_id_status']
50	2	2335	['chosen_door', 'robot_task_id_status']
50	2	1725	['chosen_door', 'robot_task_id_status']
50	2	2471	['chosen_door', 'robot_task_id_status']
50	2	2907	['chosen_door', 'robot_task_id_status']
50	2	1965	['chosen_door', 'robot_lifter_status']
50	2	2504	['chosen_door', 'robot_lifter_status']
50	2	2108	['chosen_door', 'robot_lifter_status']
50	2	2026	['chosen_door', 'robot_lifter_status']
50	2	3180	['chosen_door', 'robot_lifter_status']
50	2	2330	['chosen_door', 'robot_lifter_status']
50	2	2429	['chosen_door', 'robot_lifter_status']
50	2	2210	['chosen_door', 'robot_lifter_status']
50	2	1859	['chosen_door', 'robot_lifter_status']
50	2	2225	['chosen_door', 'robot_lifter_status']
50	2	2886	['chosen_door', 'robot_led_status']
50	2	3737	['chosen_door', 'robot_led_status']
50	2	2722	['chosen_door', 'robot_led_status']
50	2	1877	['chosen_door', 'robot_led_status']
50	2	2672	['chosen_door', 'robot_led_status']
50	2	1577	['chosen_door', 'robot_led_status']
50	2	2172	['chosen_door', 'robot_led_status']
50	2	2124	['chosen_door', 'robot_led_status']
50	2	1902	['chosen_door', 'robot_led_status']
50	2	2103	['chosen_door', 'robot_led_status']
50	2	2306	['chosen_door', 'robot_speed_status']
50	2	2562	['chosen_door', 'robot_speed_status']
50	2	2508	['chosen_door', 'robot_speed_status']
50	2	2582	['chosen_door', 'robot_speed_status']
50	2	1714	['chosen_door', 'robot_speed_status']
50	2	1990	['chosen_door', 'robot_speed_status']
50	2	2475	['chosen_door', 'robot_speed_status']
50	2	2008	['chosen_door', 'robot_speed_status']
50	2	2105	['chosen_door', 'robot_speed_status']
50	2	2756	['chosen_door', 'robot_speed_status']
50	2	2317	['chosen_door', 'robot_pheromone_map']
50	2	3055	['chosen_door', 'robot_pheromone_map']
50	2	2088	['chosen_door', 'robot_pheromone_map']
50	2	2517	['chosen_door', 'robot_pheromone_map']
50	2	2812	['chosen_door', 'robot_pheromone_map']
50	2	2306	['chosen_door', 'robot_pheromone_map']
50	2	3328	['chosen_door', 'robot_pheromone_map']
50	2	2566	['chosen_door', 'robot_pheromone_map']
50	2	1500	['chosen_door', 'robot_pheromone_map']
50	2	3037	['chosen_door', 'robot_pheromone_map']
50	2	2121	['chosen_door', 'task_completion_status']
50	2	2090	['chosen_door', 'task_completion_status']
50	2	1810	['chosen_door', 'task_completion_status']
50	2	1870	['chosen_door', 'task_completion_status']
50	2	1818	['chosen_door', 'task_completion_status']
50	2	2110	['chosen_door', 'task_completion_status']
50	2	2379	['chosen_door', 'task_completion_status']
50	2	1511	['chosen_door', 'task_completion_status']
50	2	1984	['chosen_door', 'task_completion_status']
50	2	2395	['chosen_door', 'task_completion_status']
50	2	2540	['chosen_door', 'robot_position_status']
50	2	6887	['chosen_door', 'robot_position_status']
50	2	2661	['chosen_door', 'robot_position_status']
50	2	1859	['chosen_door', 'robot_position_status']
50	2	1562	['chosen_door', 'robot_position_status']
50	2	3509	['chosen_door', 'robot_position_status']
50	2	2310	['chosen_door', 'robot_position_status']
50	2	2440	['chosen_door', 'robot_position_status']
50	2	2565	['chosen_door', 'robot_position_status']
50	2	2072	['chosen_door', 'robot_position_status']
50	2	1549	['chosen_door', 'waypoint']
50	2	1483	['chosen_door', 'waypoint']
50	2	1917	['chosen_door', 'waypoint']
50	2	2467	['chosen_door', 'waypoint']
50	2	2340	['chosen_door', 'waypoint']
50	2	2218	['chosen_door', 'waypoint']
50	2	2352	['chosen_door', 'waypoint']
50	2	2119	['chosen_door', 'waypoint']
50	2	2930	['chosen_door', 'waypoint']
50	2	1752	['chosen_door', 'waypoint']
100	0	1450	[]
100	0	1817	[]
100	0	1627	[]
100	0	2679	[]
100	0	1679	[]
100	0	1885	[]
100	0	1018	[]
100	0	3678	[]
100	0	1901	[]
100	0	1674	[]
